smiles,max_spin_ml,spin_buried_vol_ml,ionization_energy_ml,electron_affinity_ml,stability_ml,max_spin_dft,spin_buried_vol_dft,stability_dft,ionization_energy_dft,electron_affinity_dft
CCC1=CC=C(CC)[C]1SCN,0.3755699,65.812355,0.9080592393875122,-0.2534772455692291,97.03386,0.3716194488026504,63.81354085364707,95.23256841351454,0.723180874029314,-0.1929534224895475
C=CC1=C(C)C(/C(C)=C\C)=C[CH]1,0.29305393,59.776134,0.9798538684844972,-0.2288788557052612,95.1234375,0.2750369404755975,52.51527027676224,88.76342325298236,0.9885136982360745,-0.24413699774563025
CC[C@H](C)c1sc([O])c(C)c1N,0.34273797,62.88704,0.9547370672225952,-0.3071355521678924,95.7501415,0.47880531038217783,63.31288685275052,89.37262133364163,0.8519969533867524,-0.44370124066851657
C/C=C(/C)[C]1C(C)=CC=C1C,0.27225214,64.693665,0.8116729259490967,-0.4163477718830108,101.081058,0.37175167335315445,53.77382857835087,85.18624491069315,,
Cc1cc(C(C)(C)CO)sc1[O],0.33548722,62.30808,1.0644108057022097,-0.1987339258193969,95.53371899999999,0.345391454396772,63.55280151781518,96.28322879797659,1.0933570344729908,-0.2617424061411624
C=C([C]1C(C)=CC=C1C)C(C)C,0.33437508,64.38818,1.047959804534912,-0.3337750732898712,97.669426,0.37544474634976566,64.75424787275665,95.98201055526837,,
CSC1=C2C=CC=C2C=C[CH]1,0.19173916,56.537598,0.8272851705551147,-0.3150229752063751,96.95063999999999,0.28172971715431283,55.31886748051594,91.23238162280029,0.8867996076905484,-0.17137523260065457
CCc1cc([O])sc1[C@@H](C)NN,0.3475682,62.99369,1.053119421005249,-0.0880996957421302,95.61528,0.4176360570616361,63.823660265144575,92.94185741206277,1.1475610120999074,-0.07670874758346802
C=C[CH]/C(SC)=C1\C=CC=C1C,0.20700142,60.57083,1.013092875480652,-0.251332938671112,100.220759,0.29480623182995513,48.3438729041246,83.60356131262685,0.9781463711887461,-0.15093989766188542
C=CCC(=C)c1cc(C)sc1[O],0.23353209,58.07904,1.072157621383667,-0.1381814181804657,96.4024355,0.28007508657611685,45.9340321149912,81.93027778618536,1.0808672625209415,-0.138640601534342
C=C(CN)[C]1C(C)=CC=C1C,0.27107143,62.863926,1.0660264492034912,-0.3360975980758667,99.3103545,0.3028225329096266,36.83922138720517,71.69809474172385,,
CC(C)(N)c1sc([O])cc1CN,0.3484487,67.07843,1.052937150001526,-0.065728910267353,99.65599499999999,0.38518454655462797,66.23487024176283,96.97564291403144,1.1812208114566731,-0.09406925848880476
CC(C=O)c1c(CO)c[nH]c1[O],0.30017474,62.16865,0.9462464451789856,-0.2484211325645446,97.159913,0.34765890150505535,40.543052776257575,73.16010770100482,0.8714254875357588,-0.3113205423034411
C=C(CC)C1=C(SC)C(C)=C[CH]1,0.22862521,61.984943,0.988276183605194,-0.3469164967536926,100.55368250000001,0.3475094198246254,46.85297011193664,79.47749912070537,1.0942822027665366,-0.13496713919532244
CCC[C]1C(C)=CC=C1C,0.24269098,58.251453,1.0855053663253784,-0.3768890798091888,96.116904,0.38043473309115705,49.49253581700794,80.47079916245009,,
C=C(C)/C=C(/C)C1=C(C)[CH]C=C1,0.24862567,60.359573,1.0130451917648315,-0.1733551621437072,97.9282895,,,,,
N#CCCC1=C2C=CC=C2S[CH]1,0.1795577,55.55204,1.057960867881775,-0.1566714644432068,96.574155,0.37653649478467,38.258226141786665,69.43140140255316,1.131669886126467,-0.14054535978248595
C/C=C\C1=C(C)[CH]C=C1CN,0.22884952,60.21486,0.9547760486602784,-0.3044950366020202,98.772384,0.3042091095489943,29.033084585081514,63.8226291076318,,-0.2900144607352697
CCC(C)(C)c1sc([O])cc1N,0.41208658,67.47463,0.9374458193778992,-0.2682419717311859,96.87030100000001,,,,0.9423097052600218,-0.32372868175617997
C=C1CC=CC2=C1C(C)=C[CH]2,0.24754947,60.053528,0.8358067274093628,-0.3811288774013519,97.67605449999999,,,,,
